branch	field	M1	M2	q
### Switching fields: 0.34, 0.12
1	0.00	0.000000	0.000000	2.50
-1	0.00	0.000000	0.000000	2.50
1	0.01	0.002738	0.002738	2.50
-1	0.01	0.002738	0.002738	2.50
-1	0.04	0.010954	0.010954	2.50
-1	0.05	0.013692	0.013692	2.50
-1	0.07	0.019212	0.019212	2.49
1	0.08	0.021956	0.021956	2.49
-1	0.02	0.005477	0.005477	2.50
1	0.03	0.008215	0.008215	2.50
1	0.11	0.030258	0.030258	2.48
1	0.05	0.013692	0.013692	2.50
1	0.02	0.005477	0.005477	2.50
-1	0.09	0.024701	0.024701	2.49
-1	0.03	0.008215	0.008215	2.50
1	0.13	0.035842	0.035842	2.47
1	0.10	0.027445	0.027445	2.49
1	0.04	0.010954	0.010954	2.50
-1	0.11	0.030258	0.030258	2.48
1	0.12	0.033009	0.033009	2.48
1	0.06	0.016467	0.016467	2.49
1	0.15	0.041356	0.041357	2.47
1	0.07	0.019212	0.019212	2.49
-1	0.13	0.039467	0.039468	2.20
1	0.14	0.038599	0.038599	2.47
1	0.16	0.044218	0.044218	2.46
-1	0.08	0.021956	0.021956	2.49
-1	0.06	0.016467	0.016467	2.49
1	0.09	0.024701	0.024701	2.49
-1	0.10	0.027445	0.027445	2.49
-1	0.15	0.045539	0.045539	2.20
-1	0.12	0.033009	0.033009	2.48
1	0.17	0.046981	0.046982	2.46
-1	0.16	0.048575	0.048575	2.20
-1	0.17	0.051611	0.051611	2.20
-1	0.18	0.054647	0.054647	2.20
1	0.18	0.049866	0.049866	2.45
-1	0.14	0.042503	0.042503	2.20
-1	0.23	0.069826	0.069826	2.20
-1	0.20	0.060719	0.060719	2.20
1	0.27	0.076456	0.076456	2.37
-1	0.22	0.066790	0.066791	2.20
-1	0.24	0.072862	0.072862	2.20
1	0.22	0.061416	0.061417	2.42
1	0.24	0.067366	0.067367	2.40
1	0.26	0.073403	0.073403	2.38
1	0.30	0.086058	0.086059	2.33
1	0.32	0.093155	0.093155	2.29
-1	0.29	0.088041	0.088041	2.20
-1	0.27	0.081970	0.081970	2.20
-1	0.19	0.057683	0.057683	2.20
-1	0.28	0.085005	0.085006	2.20
1	0.31	0.089238	0.089238	2.32
-1	0.33	0.100184	0.100184	2.20
1	0.21	0.058471	0.058472	2.43
-1	0.21	0.063755	0.063755	2.20
-1	0.25	0.076665	0.076665	2.20
-1	0.26	0.078934	0.078934	2.20
1	0.23	0.064381	0.064382	2.41
1	0.29	0.082636	0.082637	2.35
1	0.25	0.070374	0.070374	2.39
1	0.28	0.079533	0.079533	2.36
1	0.55	0.168655	0.168655	2.20
-1	0.35	0.106256	0.106256	2.20
1	0.35	0.106256	0.106256	2.20
-1	0.36	0.109291	0.109292	2.20
-1	0.37	0.112327	0.112327	2.20
1	0.36	0.109291	0.109292	2.20
1	0.33	0.096848	0.096849	2.27
1	0.38	0.115363	0.115363	2.20
1	0.40	0.121434	0.121435	2.20
1	0.39	0.118399	0.118399	2.20
-1	0.40	0.121434	0.121435	2.20
-1	0.61	0.187052	0.187052	2.20
-1	0.39	0.118399	0.118399	2.20
1	0.41	0.124470	0.124470	2.20
-1	0.42	0.127506	0.127506	2.20
-1	0.30	0.091077	0.091077	2.20
-1	0.31	0.094113	0.094113	2.20
-1	0.32	0.097148	0.097149	2.20
1	0.43	0.130541	0.130542	2.20
1	0.34	0.103220	0.103220	2.20
-1	0.43	0.130541	0.130542	2.20
-1	0.34	0.103220	0.103220	2.20
1	0.44	0.133577	0.133577	2.20
1	0.37	0.112327	0.112327	2.20
1	0.47	0.142684	0.142684	2.20
-1	0.47	0.142684	0.142684	2.20
-1	0.44	0.133577	0.133577	2.20
-1	0.38	0.115363	0.115363	2.20
1	0.45	0.136613	0.136613	2.20
-1	0.45	0.136613	0.136613	2.20
1	0.48	0.145719	0.145720	2.20
1	0.46	0.139648	0.139649	2.20
-1	0.46	0.139648	0.139649	2.20
1	0.42	0.127506	0.127506	2.20
-1	0.41	0.124470	0.124470	2.20
-1	0.49	0.148755	0.148755	2.20
-1	0.49	0.151791	0.151791	2.20
1	0.50	0.154826	0.154827	2.20
-1	0.50	0.154826	0.154827	2.20
1	0.49	0.148755	0.148755	2.20
1	0.61	0.188217	0.188217	2.20
1	0.49	0.151791	0.151791	2.20
-1	0.62	0.191252	0.191253	2.20
1	0.57	0.176075	0.176075	2.20
-1	0.48	0.145719	0.145720	2.20
-1	0.64	0.197323	0.197324	2.20
1	0.64	0.197323	0.197324	2.20
-1	0.57	0.176075	0.176075	2.20
-1	0.58	0.179110	0.179111	2.20
1	0.58	0.179110	0.179111	2.20
1	0.60	0.185181	0.185182	2.20
-1	0.82	0.251437	0.251437	2.20
1	0.59	0.182146	0.182146	2.20
1	0.62	0.191252	0.191253	2.20
1	0.63	0.194288	0.194288	2.20
1	0.51	0.157862	0.157862	2.20
-1	0.51	0.157862	0.157862	2.20
-1	0.53	0.163933	0.163933	2.20
1	0.52	0.160897	0.160898	2.20
-1	0.68	0.209465	0.209465	2.20
-1	0.54	0.166968	0.166969	2.20
-1	0.52	0.160897	0.160898	2.20
1	0.53	0.163933	0.163933	2.20
-1	0.66	0.203394	0.203394	2.20
1	0.54	0.166968	0.166969	2.20
-1	0.67	0.206429	0.206430	2.20
-1	0.69	0.212500	0.212500	2.20
-1	0.70	0.215535	0.215536	2.20
1	0.73	0.224641	0.224642	2.20
1	0.56	0.173039	0.173040	2.20
-1	0.56	0.173039	0.173040	2.20
-1	0.55	0.170004	0.170004	2.20
1	0.71	0.218571	0.218571	2.20
1	0.72	0.221606	0.221606	2.20
-1	0.60	0.185181	0.185182	2.20
-1	0.72	0.221606	0.221606	2.20
-1	0.73	0.224641	0.224642	2.20
-1	0.59	0.182146	0.182146	2.20
-1	0.63	0.194288	0.194288	2.20
1	0.74	0.227676	0.227677	2.20
1	0.77	0.236782	0.236783	2.20
1	0.76	0.233747	0.233747	2.20
-1	0.75	0.230712	0.230712	2.20
-1	0.76	0.233747	0.233748	2.20
1	0.65	0.200359	0.200359	2.20
-1	0.65	0.200359	0.200359	2.20
1	0.66	0.203394	0.203394	2.20
1	0.67	0.206429	0.206430	2.20
1	0.68	0.209465	0.209465	2.20
1	0.78	0.239817	0.239818	2.20
1	0.79	0.242853	0.242853	2.20
1	0.69	0.212500	0.212500	2.20
1	0.70	0.215535	0.215536	2.20
-1	0.71	0.218571	0.218571	2.20
-1	0.79	0.242853	0.242853	2.20
-1	0.80	0.245888	0.245888	2.20
1	0.81	0.248923	0.248923	2.20
1	0.82	0.251958	0.251959	2.20
1	0.83	0.254993	0.254994	2.20
-1	0.83	0.254993	0.254994	2.20
-1	0.81	0.248923	0.248923	2.20
-1	0.74	0.227676	0.227677	2.20
-1	0.84	0.258028	0.258029	2.20
1	0.85	0.261063	0.261064	2.20
1	0.75	0.230712	0.230712	2.20
1	0.84	0.258028	0.258029	2.20
-1	0.87	0.267133	0.267134	2.20
-1	0.89	0.273203	0.273204	2.20
-1	0.91	0.279273	0.279274	2.20
1	0.91	0.279273	0.279274	2.20
-1	0.78	0.239817	0.239818	2.20
-1	0.77	0.236782	0.236783	2.20
-1	0.85	0.261063	0.261064	2.20
-1	0.90	0.276238	0.276239	2.20
1	0.92	0.282308	0.282309	2.20
1	0.80	0.245888	0.245888	2.20
1	0.94	0.288378	0.288379	2.20
-1	0.95	0.291413	0.291414	2.20
-1	0.94	0.288378	0.288379	2.20
1	0.96	0.294448	0.294449	2.20
-1	0.86	0.264098	0.264099	2.20
-1	0.93	0.285343	0.285344	2.20
1	0.88	0.270168	0.270169	2.20
-1	0.97	0.297483	0.297483	2.20
1	0.98	0.300518	0.300518	2.20
1	0.86	0.264098	0.264099	2.20
-1	0.98	0.300518	0.300518	2.20
1	0.99	0.303552	0.303553	2.20
1	0.87	0.267133	0.267134	2.20
-1	0.99	0.303552	0.303553	2.20
-1	0.88	0.270168	0.270169	2.20
1	0.89	0.273203	0.273204	2.20
-1	0.96	0.294448	0.294449	2.20
1	0.95	0.291413	0.291414	2.20
1	0.90	0.276238	0.276239	2.20
-1	0.92	0.282308	0.282309	2.20
1	0.93	0.285343	0.285344	2.20
1	0.97	0.297483	0.297483	2.20
