branch	field	M1	M2	q
### Switching fields: 0.55, 0.17
-1	0.00	0.000000	0.000000	3.00
1	0.00	0.000000	0.000000	3.00
-1	0.02	0.005166	0.005166	3.00
1	0.03	0.007749	0.007749	3.00
1	0.02	0.005114	0.005114	3.00
-1	0.04	0.010228	0.010228	3.00
-1	0.03	0.007671	0.007671	3.00
1	0.04	0.010228	0.010228	3.00
1	0.01	0.002557	0.002557	3.00
-1	0.01	0.002557	0.002557	3.00
-1	0.14	0.035860	0.035861	2.98
1	0.14	0.035860	0.035861	2.98
-1	0.16	0.040983	0.040983	2.98
1	0.16	0.040983	0.040983	2.98
1	0.24	0.062264	0.062265	2.95
-1	0.05	0.012805	0.012805	3.00
-1	0.13	0.033270	0.033270	2.99
-1	0.15	0.038422	0.038422	2.98
1	0.15	0.038422	0.038422	2.98
1	0.06	0.015342	0.015342	3.00
-1	0.06	0.015342	0.015342	3.00
1	0.05	0.012785	0.012785	3.00
-1	0.07	0.017899	0.017899	3.00
-1	0.11	0.028152	0.028152	2.99
1	0.09	0.023033	0.023033	2.99
-1	0.12	0.030711	0.030711	2.99
1	0.13	0.033270	0.033270	2.99
1	0.07	0.017899	0.017899	3.00
1	0.12	0.030711	0.030711	2.99
-1	0.17	0.043584	0.043584	2.97
1	0.08	0.020474	0.020474	2.99
-1	0.08	0.020474	0.020474	2.99
-1	0.10	0.025610	0.025610	2.99
1	0.10	0.025610	0.025610	2.99
-1	0.09	0.023049	0.023049	2.99
1	0.17	0.043584	0.043584	2.97
1	0.11	0.028152	0.028152	2.99
1	0.21	0.053887	0.053887	2.96
1	0.18	0.046147	0.046148	2.97
1	0.19	0.048711	0.048711	2.97
1	0.20	0.051321	0.051321	2.96
1	0.22	0.056453	0.056453	2.96
-1	0.19	0.058265	0.058266	2.20
-1	0.21	0.063755	0.063755	2.20
-1	0.26	0.079731	0.079731	2.20
-1	0.18	0.054647	0.054647	2.20
1	0.30	0.077348	0.077348	2.91
-1	0.22	0.066790	0.066791	2.20
1	0.27	0.069478	0.069478	2.93
1	0.25	0.064270	0.064270	2.94
1	0.28	0.072051	0.072051	2.93
1	0.31	0.079926	0.079926	2.91
-1	0.31	0.095063	0.095063	2.20
1	0.33	0.085254	0.085253	2.89
1	0.26	0.066841	0.066841	2.94
1	0.32	0.082587	0.082587	2.90
-1	0.30	0.091077	0.091077	2.20
-1	0.29	0.088041	0.088041	2.20
1	0.29	0.074696	0.074697	2.92
-1	0.28	0.085864	0.085864	2.20
-1	0.32	0.097148	0.097149	2.20
-1	0.25	0.076665	0.076665	2.20
1	0.23	0.059118	0.059118	2.95
-1	0.23	0.070532	0.070532	2.20
-1	0.20	0.060719	0.060719	2.20
-1	0.24	0.072862	0.072862	2.20
1	0.39	0.101291	0.101292	2.84
1	0.34	0.087837	0.087836	2.89
-1	0.36	0.109291	0.109292	2.20
1	0.41	0.106727	0.106726	2.82
-1	0.42	0.127506	0.127506	2.20
-1	0.27	0.081970	0.081970	2.20
1	0.43	0.112330	0.112330	2.79
-1	0.33	0.100184	0.100184	2.20
1	0.47	0.123558	0.123558	2.74
1	0.44	0.115082	0.115083	2.78
1	0.48	0.126357	0.126357	2.73
1	0.46	0.120616	0.120616	2.76
1	0.45	0.117844	0.117844	2.77
1	0.36	0.093196	0.093197	2.87
-1	0.45	0.136613	0.136613	2.20
-1	0.34	0.103220	0.103220	2.20
-1	0.46	0.139648	0.139649	2.20
1	0.49	0.132362	0.132363	2.69
1	0.49	0.129346	0.129345	2.71
1	0.35	0.090513	0.090513	2.88
1	0.50	0.135618	0.135618	2.66
1	0.52	0.142086	0.142086	2.61
-1	0.38	0.116528	0.116528	2.20
-1	0.35	0.106256	0.106256	2.20
-1	0.44	0.133577	0.133577	2.20
-1	0.48	0.145719	0.145720	2.20
1	0.51	0.138715	0.138714	2.64
1	0.37	0.095887	0.095888	2.86
-1	0.40	0.122661	0.122661	2.20
-1	0.49	0.151791	0.151791	2.20
1	0.38	0.098585	0.098585	2.85
-1	0.37	0.112327	0.112327	2.20
1	0.42	0.109456	0.109456	2.81
1	0.40	0.104005	0.104006	2.83
-1	0.47	0.142684	0.142684	2.20
#-1	0.49	0.148755	0.148755	2.20
-1	0.39	0.118399	0.118399	2.20
-1	0.41	0.124470	0.124470	2.20
-1	0.50	0.154826	0.154827	2.20
-1	0.52	0.160897	0.160898	2.20
-1	0.43	0.130541	0.130542	2.20
-1	0.53	0.163933	0.163933	2.20
1	0.55	0.170004	0.170004	2.20
-1	0.58	0.179110	0.179111	2.20
-1	0.60	0.185181	0.185182	2.20
-1	0.51	0.157862	0.157862	2.20
1	0.53	0.145803	0.145803	2.57
1	0.54	0.159489	0.159489	2.30
-1	0.59	0.182146	0.182146	2.20
1	0.60	0.185181	0.185182	2.20
1	0.63	0.194288	0.194288	2.20
