branch	field	M1	M2	q
### Switching fields: 0.76, 0.2
-1	0.78	0.239817	0.239818	2.20
-1	0.81	0.248923	0.248923	2.20
-1	0.80	0.245888	0.245888	2.20
-1	0.83	0.254993	0.254994	2.20
1	0.83	0.254993	0.254994	2.20
-1	0.79	0.242853	0.242853	2.20
-1	0.85	0.261063	0.261064	2.20
1	0.86	0.264098	0.264099	2.20
-1	0.75	0.230712	0.230712	2.20
1	0.76	0.233747	0.233747	2.20
-1	0.87	0.267133	0.267134	2.20
1	0.87	0.267133	0.267134	2.20
1	0.88	0.270168	0.270169	2.20
1	0.79	0.242853	0.242853	2.20
1	0.89	0.273203	0.273204	2.20
1	0.90	0.276238	0.276239	2.20
-1	0.86	0.264098	0.264099	2.20
1	0.80	0.245888	0.245888	2.20
1	0.82	0.251958	0.251959	2.20
-1	0.90	0.276238	0.276239	2.20
1	0.81	0.248923	0.248923	2.20
-1	0.89	0.273203	0.273204	2.20
-1	0.82	0.251958	0.251959	2.20
1	0.92	0.282308	0.282309	2.20
1	0.93	0.285343	0.285344	2.20
-1	0.84	0.258028	0.258029	2.20
-1	0.92	0.282308	0.282309	2.20
-1	0.91	0.279273	0.279274	2.20
1	0.84	0.258028	0.258029	2.20
1	0.94	0.288378	0.288379	2.20
1	0.85	0.261063	0.261064	2.20
-1	0.88	0.270168	0.270169	2.20
1	0.95	0.291413	0.291414	2.20
1	0.91	0.279273	0.279274	2.20
-1	0.96	0.294448	0.294449	2.20
1	0.96	0.294448	0.294449	2.20
-1	0.94	0.288378	0.288379	2.20
1	0.97	0.297483	0.297483	2.20
-1	0.93	0.285343	0.285344	2.20
-1	0.98	0.300518	0.300518	2.20
-1	0.97	0.297483	0.297483	2.20
1	0.98	0.300518	0.300518	2.20
-1	0.95	0.291413	0.291414	2.20
1	0.99	0.303552	0.303553	2.20
-1	0.99	0.303552	0.303553	2.20
