branch	field	M1	M2	q
### Switching fields:  0.98, 0.26
1	0.85	0.212403	0.212404	3.60
-1	0.67	0.206429	0.206430	2.20
1	0.88	0.220157	0.220157	3.56
1	0.87	0.217512	0.217510	3.58
-1	0.70	0.215535	0.215536	2.20
-1	0.80	0.245888	0.245888	2.20
-1	0.72	0.221606	0.221606	2.20
1	0.83	0.207230	0.207230	3.63
1	0.91	0.228146	0.228145	3.50
1	0.89	0.222723	0.222720	3.55
-1	0.69	0.212500	0.212500	2.20
-1	0.81	0.248923	0.248923	2.20
1	0.90	0.225382	0.225380	3.53
-1	0.71	0.218571	0.218571	2.20
-1	0.73	0.224641	0.224642	2.20
-1	0.78	0.239817	0.239818	2.20
-1	0.74	0.227676	0.227677	2.20
1	0.84	0.209401	0.209401	3.62
-1	0.82	0.251958	0.251959	2.20
-1	0.83	0.254993	0.254994	2.20
-1	0.79	0.242853	0.242853	2.20
-1	0.85	0.261063	0.261064	2.20
-1	0.86	0.264098	0.264099	2.20
1	0.94	0.236440	0.236440	3.42
-1	0.84	0.258028	0.258029	2.20
1	0.95	0.239160	0.239160	3.40
1	0.96	0.242013	0.242016	3.37
1	0.93	0.233623	0.233625	3.45
1	0.92	0.230931	0.230929	3.47
1	0.97	0.245284	0.245286	3.31
-1	0.90	0.276238	0.276239	2.20
-1	0.88	0.270168	0.270169	2.20
-1	0.89	0.273203	0.273204	2.20
-1	0.87	0.267133	0.267134	2.20
-1	0.95	0.291413	0.291414	2.20
-1	0.92	0.282308	0.282309	2.20
1	0.99	0.303552	0.303553	2.20
-1	0.93	0.285343	0.285344	2.20
-1	0.91	0.279273	0.279274	2.20
-1	0.97	0.297483	0.297483	2.20
-1	0.99	0.303552	0.303553	2.20
-1	0.94	0.288378	0.288379	2.20
1	0.98	0.300518	0.300518	2.20
-1	0.96	0.294448	0.294449	2.20
-1	0.98	0.300518	0.300518	2.20
